,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 399.000,Imóvel 1QRU754,Apartamento em Belo Horizonte,Rua Aluísio Lobão Veras,"Apartamento à venda em Serrano com 79 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 600/mês,R$ 150/mês
0,R$ 299.000,Imóvel 1P6B70R,Apartamento em Belo Horizonte,Rua Zircônio,"Apartamento à venda em Camargos com 96 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 400/mês,R$ 91/mês
0,R$ 395.000,Imóvel 18BHU16,Apartamento em Belo Horizonte,Rua Gustavo Ladeira,"Apartamento à venda em Paquetá com 75 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 120/mês
0,R$ 500.000,Imóvel 5UOOPE,Apartamento em Belo Horizonte,Rua Perdigão Malheiros,"Apartamento à venda em Cidade Jardim com 105 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 450/mês,R$ 126/mês
0,R$ 699.000,Imóvel WLGX8D,Apartamento em Belo Horizonte,Rua Nunes Vieira,"Apartamento à venda em Santo Antônio com 95 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 593/mês,R$ 170/mês
0,R$ 460.000,Imóvel 1OK0B37,Apartamento em Belo Horizonte,Rua Mangabeira,"Apartamento à venda em Santo Antônio com 70 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 390/mês,R$ 150/ano
0,R$ 770.000,Imóvel RF91M,Apartamento em Belo Horizonte,Rua Sagarana,"Apartamento à venda em Santo Antônio com 104 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 680/mês,R$ 125/mês
0,R$ 790.000,Imóvel 1DNHYC0,Apartamento em Belo Horizonte,Avenida Luíz Paulo Franco,"Apartamento à venda em Belvedere com 75 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 830/mês,R$ 280/mês
0,R$ 240.000,Imóvel H62CL,Apartamento em Belo Horizonte,Rua Madre Paulina,"Apartamento à venda em Diamante com 45 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 299/mês,R$ 72/mês
0,R$ 690.000,Imóvel QQDOW8,Apartamento em Belo Horizonte,Rua José Rodrigues Pereira,"Apartamento à venda em Buritis com 105 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 730/mês,R$ 229/mês
