preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 650.000; 119OVLH;São Paulo;Rua Tucuna;Apartamento à venda em Perdizes com 90 m², 2 quartos, 2 vagas;2;1;R$ 530; R$ -   ;90;R$ 7.222;   Perdizes       
R$ 1.090.000; 1K8YSHB;São Paulo;Alameda Santos;Apartamento à venda em Jardim Paulista com 115 m², 3 quartos, 1 vaga;1;2;R$ 1.282; R$ 24,00 ;115;R$ 9.478;   Jardim Paulista       
R$ 590.000; 14Z1CZX;São Paulo;Rua João Moura;Apartamento à venda em Jardim Paulistano com 60 m², 2 quartos;0;1;R$ 900; R$ -   ;60;R$ 9.833;   Jardim Paulistano       
R$ 220.000; 6AM85G;São Paulo;Avenida Joaquim de Santana;Apartamento à venda em Raposo Tavares com 64 m², 2 quartos, 1 vaga;1;1;R$ 420; R$ -   ;64;R$ 3.438;   Raposo Tavares       
R$ 1.180.000; 11CIM67;São Paulo;Rua Teodoro Sampaio;Apartamento à venda em Pinheiros com 114 m², 3 quartos, 1 suíte, 1 vaga;1;4;R$ 1.600; R$ 30,25 ;114;R$ 10.351;   Pinheiros       
R$ 375.000; 1IH9QFN;São Paulo;Rua Botucatu;Apartamento à venda em Vila Mariana com 50 m², 1 quarto;0;1;R$ 682; R$ -   ;50;R$ 7.500;   Vila Mariana       
R$ 614.800; SPOCXV;São Paulo;Rua Alexandre Levi;Apartamento à venda em Cambuci com 59 m², 2 quartos, 1 suíte, 1 vaga;1;1;R$ 550; R$ 125,00 ;59;R$ 10.420;   Cambuci       
R$ 460.000; 1ADP37K;São Paulo;Rua Cipriano Barata;Apartamento à venda em Ipiranga com 67 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 980; R$ 108,33 ;67;R$ 6.866;   Ipiranga         
R$ 489.400; VDRFHG;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 64 m², 2 quartos, 1 vaga;1;1;R$ 415; R$ 51,67 ;64;R$ 7.647;   Vila Formosa       
R$ 350.000; D32TAP;São Paulo;Rua Galeno de Castro;Apartamento à venda em Campo Grande com 33 m², 2 quartos, 1 suíte, 1 vaga;1;1;R$ 350; R$ -   ;33;R$ 10.606;   Campo Grande         
R$ 400.000; M78JDF;São Paulo;Rua Orindiúva;Apartamento à venda em Vila Maria com 51 m², 2 quartos, 1 vaga;1;1;R$ 480; R$ -   ;51;R$ 7.843;   Vila Maria         
R$ 400.000; 1952A44;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 54 m², 2 quartos, 1 vaga;1;1;R$ 387; R$ 61,33 ;54;R$ 7.407;   Vila Formosa       
R$ 750.000; APPRQV;São Paulo;Rua Dona Veridiana;Apartamento à venda em Campos Elísios com 72 m², 1 quarto;0;1;R$ 520; R$ -   ;72;R$ 10.417;   Campos Elísios     
R$ 400.000; 1FHXUYE;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 55 m², 2 quartos, 1 vaga;1;1;R$ 409; R$ 50,00 ;55;R$ 7.273;   Vila Formosa       
R$ 640.000; 1C25Z6R;São Paulo;Rua Justo Azambuja;Apartamento à venda em Cambuci com 84 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 900; R$ 8,75 ;84;R$ 7.619;   Cambuci       
R$ 1.650.000; WY61QR;São Paulo;Rua dos Americanos;Apartamento à venda em Bom Retiro com 112 m², 2 quartos, 1 suíte, 3 vagas;3;3;R$ 1.285; R$ 454,00 ;112;R$ 14.732;   Bom Retiro       
R$ 270.000; 1HMCDPE;São Paulo;Avenida Parada Pinto;Apartamento à venda em Mandaqui com 50 m², 2 quartos, 1 vaga;1;1;R$ 520; R$ 8,33 ;50;R$ 5.400;   Mandaqui       
R$ 1.250.800; E5S5ZC;São Paulo;Rua Getúlio Soares da Rocha;Apartamento à venda em Brooklin com 69 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 600; R$ 75,00 ;69;R$ 18.128;   Brooklin         
R$ 380.000; F59XAJ;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 55 m², 2 quartos, 1 vaga;1;1;R$ 414; R$ 51,83 ;55;R$ 6.909;   Vila Formosa       
R$ 690.000; 1R0WESV;São Paulo;Rua Dom Bernardo Nogueira;Apartamento à venda em Cursino com 86 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.070; R$ 336,00 ;86;R$ 8.023;   Cursino       
R$ 320.000; 9R74OQ;São Paulo;Rua Zike Tuma;Apartamento à venda em Campo Grande com 50 m², 2 quartos, 1 vaga;1;1;R$ 372; R$ 91,67 ;50;R$ 6.400;   Campo Grande         
R$ 299.000; S5UV90;São Paulo;Rua Salvador Pela;Apartamento à venda em Mandaqui com 53 m², 2 quartos, 1 vaga;1;1;R$ 450; R$ 8,33 ;53;R$ 5.642;   Mandaqui       
R$ 280.000; H49621;São Paulo;Rua Alexandrino da Silveira Bueno;Apartamento à venda em Cambuci com 33 m², 2 quartos;1;1;R$ 350; R$ -   ;33;R$ 8.485;   Cambuci       
R$ 610.000; V2LSP8;São Paulo;Rua Bela Cintra;Apartamento à venda em Jardim América com 50 m², 1 quarto;0;1;R$ 439; R$ -   ;50;R$ 12.200;   Jardim América         
R$ 400.000; 1U68F0N;São Paulo;Avenida do Café;Apartamento à venda em Jabaquara com 52 m², 1 quarto, 1 vaga;1;1;R$ 645; R$ 9,17 ;52;R$ 7.692;   Jabaquara       
R$ 740.000; UGLXUF;São Paulo;Rua Tupi;Apartamento à venda em Santa Cecília com 94 m², 2 quartos, 1 vaga;1;2;R$ 833; R$ 150,00 ;94;R$ 7.872;   Santa Cecília       
R$ 477.000; 1OTECFV;São Paulo;Rua Catumbi;Apartamento à venda em Belém com 50 m², 2 quartos, 1 vaga;1;1;R$ 352; R$ -   ;50;R$ 9.540;   Belém         
R$ 950.000; V0AJL3;São Paulo;Rua Jaguaribe;Apartamento à venda em Higienópolis com 48 m², 1 quarto, 1 vaga;1;1;R$ 750; R$ 250,00 ;48;R$ 19.792;   Higienópolis       
R$ 318.000; 1PF17V9;São Paulo;Rua Zike Tuma;Apartamento à venda em Campo Grande com 50 m², 2 quartos, 1 vaga;1;1;R$ 400; R$ 20,00 ;50;R$ 6.360;   Campo Grande         
R$ 480.000; W67J6Z;São Paulo;Rua Muniz de Sousa;Apartamento à venda em Liberdade com 78 m², 2 quartos, 1 vaga;1;2;R$ 830; R$ -   ;78;R$ 6.154;   Liberdade         
R$ 1.250.000; DJ7RDV;São Paulo;Rua Gaivota;Apartamento à venda em Moema Pássaros com 105 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 2.000; R$ 20,50 ;105;R$ 11.905;   Moema Pássaros         
R$ 586.000; L7FB08;São Paulo;Avenida Mandaqui;Apartamento à venda em Limão com 74 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 640; R$ -   ;74;R$ 7.919;   Limão       
R$ 350.000; OHLG7A;São Paulo;Rua Aragão;Apartamento à venda em Tucuruvi com 50 m², 2 quartos, 1 vaga;1;1;R$ 486; R$ -   ;50;R$ 7.000;   Tucuruvi         
R$ 1.272.000; 1O9FBQL;São Paulo;Avenida Mofarrej;Apartamento à venda em Vila Leopoldina com 89 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 800; R$ 167,17 ;89;R$ 14.292;   Vila Leopoldina       
R$ 342.897; PYV30I;São Paulo;Rua Costa Barros;Apartamento à venda em São Lucas com 64 m², 3 quartos, 1 vaga;1;1;R$ 490; R$ 7,42 ;64;R$ 5.358;   São Lucas         
R$ 430.000; 1MIAXLR;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 63 m², 2 quartos, 1 vaga;1;1;R$ 420; R$ 52,50 ;63;R$ 6.825;   Vila Formosa       
R$ 1.346.743; 890TAD;São Paulo;Avenida Brigadeiro Luís Antônio;Apartamento à venda em Jardim Paulista com 170 m², 3 quartos, 3 suítes, 2 vagas;2;4;R$ 3.100; R$ 1.000,00 ;170;R$ 7.922;   Jardim Paulista       
R$ 435.000; 11UF1J3;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 64 m², 2 quartos, 1 vaga;1;1;R$ 416; R$ 52,33 ;64;R$ 6.797;   Vila Formosa       
R$ 400.000; 1GH3512;São Paulo;Rua Márcio Mazzei;Apartamento à venda em Tremembé com 63 m², 2 quartos, 1 vaga;1;1;R$ 500; R$ 100,00 ;63;R$ 6.349;   Tremembé       
R$ 2.298.000; 1OWXUZH;São Paulo;Rua Carlos Lima Morel;Apartamento à venda em Morumbi com 170 m², 4 quartos, 2 suítes, 3 vagas;3;3;R$ 1.900; R$ 683,00 ;170;R$ 13.518;   Morumbi       
R$ 1.100.000; 5R9W4E;São Paulo;Rua Bartolomeu Zunega;Apartamento à venda em Pinheiros com 82 m², 2 quartos, 2 vagas;2;1;R$ 550; R$ 166,67 ;82;R$ 13.415;   Pinheiros       
R$ 435.000; 1PAC13U;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 55 m², 2 quartos, 1 vaga;1;1;R$ 405; R$ 50,67 ;55;R$ 7.909;   Vila Formosa       
R$ 1.177.000; A8K3YS;São Paulo;Rua Doutor Silvino Canuto Abreu;Apartamento à venda em Campo Belo com 129 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 1.500; R$ 542,50 ;129;R$ 9.124;   Campo Belo         
R$ 460.000; ER5D99;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 63 m², 2 quartos, 1 vaga;1;1;R$ 410; R$ 5,00 ;63;R$ 7.302;   Vila Formosa       
R$ 350.000; 1C62185;São Paulo;Rua Salvador Bicudo;Apartamento à venda em Tucuruvi com 47 m², 1 quarto, 1 vaga;1;1;R$ 400; R$ -   ;47;R$ 7.447;   Tucuruvi         
R$ 480.000; 1QSUQXA;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 65 m², 2 quartos, 1 vaga;1;1;R$ 417; R$ 55,83 ;65;R$ 7.385;   Vila Formosa       
R$ 650.000; 1KLGMGM;São Paulo;Rua Jacofer;Apartamento à venda em Limão com 78 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 621; R$ 4,42 ;78;R$ 8.333;   Limão       
R$ 320.000; KDZULH;São Paulo;Alameda Barros;Apartamento à venda em Santa Cecília com 34 m², 1 quarto, 1 vaga;1;1;R$ 423; R$ -   ;34;R$ 9.412;   Santa Cecília       
R$ 477.000; 1PKT0GT;São Paulo;Rua Samambaia;Apartamento à venda em Cursino com 55 m², 2 quartos, 1 vaga;1;1;R$ 590; R$ 16,67 ;55;R$ 8.673;   Cursino       
R$ 550.000; CTIURW;São Paulo;Rua Lavradio;Apartamento à venda em Perdizes com 86 m², 2 quartos, 1 vaga;1;2;R$ 762; R$ 16,67 ;86;R$ 6.395;   Perdizes       
R$ 351.000; 1EQGQIK;São Paulo;Avenida Parada Pinto;Apartamento à venda em Cachoeirinha com 64 m², 3 quartos, 1 vaga;1;2;R$ 420; R$ 16,67 ;64;R$ 5.484;   Cachoeirinha       
R$ 530.000; 14NOCMF;São Paulo;Avenida Diógenes Ribeiro de Lima;Apartamento à venda em Alto de Pinheiros com 64 m², 3 quartos;1;1;R$ 440; R$ 4,75 ;64;R$ 8.281;   Alto de Pinheiros       
R$ 1.280.000; JKKE3Z;São Paulo;Rua Nanuque;Apartamento à venda em Alto da Lapa com 114 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.200; R$ 378,83 ;114;R$ 11.228;   Alto da Lapa       
