preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 550.000; 19GAGB4;São Paulo;Rua Major Freire;Apartamento à venda em Saúde com 57 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 650; R$ 155,00 ;57;R$ 9.649;   Saúde         
R$ 850.000; DEXX5G;São Paulo;Rua Nova Jerusalém;Apartamento à venda em Carrão com 73 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 615; R$ 115,83 ;73;R$ 11.644;   Carrão       
R$ 640.000; 10DCZTR;São Paulo;Rua Capistrano de Abreu;Apartamento à venda em Santa Cecília com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 750; R$ 70,00 ;60;R$ 10.667;   Santa Cecília       
R$ 560.000; 18J3JMH;São Paulo;Rua Alves Guimarães;Apartamento à venda em Pinheiros com 32 m², 1 quarto;0;1;R$ 300; R$ -   ;32;R$ 17.500;   Pinheiros       
R$ 650.000; 1XWP1NF;São Paulo;Rua Purpurina;Apartamento à venda em Vila Madalena com 35 m², 1 quarto, 1 vaga;1;1;R$ 1.050; R$ 155,00 ;35;R$ 18.571;   Vila Madalena         
R$ 900.000; X5HML7;São Paulo;Rua Guaraiúva;Apartamento à venda em Brooklin com 85 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.430; R$ 442,00 ;85;R$ 10.588;   Brooklin         
R$ 585.000; NPOJEK;São Paulo;Avenida Aratãs;Apartamento à venda em Moema Índios com 53 m², 1 quarto, 1 vaga;1;1;R$ 1.126; R$ 135,00 ;53;R$ 11.038;   Moema Índios       
R$ 1.650.000; J54V1C;São Paulo;Alameda Joaquim Eugênio de Lima;Apartamento à venda em Jardim Paulista com 120 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.300; R$ 407,00 ;120;R$ 13.750;   Jardim Paulista       
R$ 495.000; 16AF6S1;São Paulo;Rua Bartolomeu de Gusmão;Apartamento à venda em Aclimação com 55 m², 2 quartos, 1 vaga;1;1;R$ 525; R$ 243,00 ;55;R$ 9.000;   Aclimação         
R$ 1.092.500; CWMRVZ;São Paulo;Rua Cônego Eugênio Leite;Apartamento à venda em Pinheiros com 100 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.400; R$ 295,00 ;100;R$ 10.925;   Pinheiros       
R$ 990.000; 1W0CJRZ;São Paulo;Rua Arminda;Apartamento à venda em Vila Olímpia com 75 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 750; R$ 125,00 ;75;R$ 13.200;   Vila Olímpia         
R$ 920.000; QSYPE4;São Paulo;Rua Conde de Irajá;Apartamento à venda em Chácara Klabin com 85 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 800; R$ 124,00 ;85;R$ 10.824;   Chácara Klabin         
R$ 288.000; 1DS4E0O;São Paulo;Avenida do Estado;Apartamento à venda em Cambuci com 32 m², 1 quarto;0;1;R$ 300; R$ -   ;32;R$ 9.000;   Cambuci       
R$ 650.000; 16KIQ49;São Paulo;Alameda Itu;Apartamento à venda em Jardim Paulista com 64 m², 2 quartos, 1 vaga;1;2;R$ 1.000; R$ 250,00 ;64;R$ 10.156;   Jardim Paulista       
R$ 1.045.000; ZE0GWN;São Paulo;Avenida Leonardo da Vinci;Apartamento à venda em Jabaquara com 100 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 1.099; R$ 191,00 ;100;R$ 10.450;   Jabaquara       
R$ 370.000; 127VUB8;São Paulo;Rua Hans Oersted;Apartamento à venda em Brooklin com 31 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.122; R$ 206,00 ;31;R$ 11.935;   Brooklin         
R$ 1.900.000; FKXTG;São Paulo;Rua José Maria Lisboa;Apartamento à venda em Jardim Paulista com 149 m², 3 quartos, 3 suítes, 2 vagas;2;3;R$ 2.051; R$ 1.519,00 ;149;R$ 12.752;   Jardim Paulista       
R$ 675.000; 11IETL3;São Paulo;Rua Mourato Coelho;Apartamento à venda em Pinheiros com 86 m², 2 quartos;0;1;R$ 1.560; R$ -   ;86;R$ 7.849;   Pinheiros       
R$ 423.200; F9P5XJ;São Paulo;Rua Dona Escolástica M. da Fonseca;Apartamento à venda em Vila Matilde com 61 m², 2 quartos, 1 vaga;1;1;R$ 550; R$ 50,00 ;61;R$ 6.938;   Vila Matilde       
R$ 530.000; 1UF3CEX;São Paulo;Rua Mil Oitocentos e Vinte e Dois;Apartamento à venda em Ipiranga com 54 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 480; R$ 23,00 ;54;R$ 9.815;   Ipiranga         
R$ 1.320.000; 1YPSI04;São Paulo;Rua Brasília;Apartamento à venda em Itaim Bibi com 104 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.469; R$ 390,00 ;104;R$ 12.692;   Itaim Bibi       
R$ 288.000; 1APA5UL;São Paulo;Rua Maria Antônia;Apartamento à venda em Bela Vista com 30 m², 1 quarto;0;1;R$ 415; R$ 30,00 ;30;R$ 9.600;   Bela Vista         
R$ 764.000; RG6I8Q;São Paulo;Rua Doutor Jesuíno Maciel;Apartamento à venda em Campo Belo com 50 m², 1 quarto, 1 vaga;1;1;R$ 544; R$ 85,00 ;50;R$ 15.280;   Campo Belo         
R$ 429.000; AAHQ4X;São Paulo;Rua Serra de Botucatu;Apartamento à venda em Carrão com 53 m², 2 quartos, 1 vaga;1;1;R$ 450; R$ -   ;53;R$ 8.094;   Carrão       
R$ 1.980.000; 1IQASA7;São Paulo;Rua Guararapes;Apartamento à venda em Brooklin com 115 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.200; R$ 520,00 ;115;R$ 17.217;   Brooklin         
R$ 522.000; 163MN4;São Paulo;Rua da Paz;Apartamento à venda em Santo Amaro com 33 m², 1 quarto, 1 vaga;1;1;R$ 399; R$ 113,00 ;33;R$ 15.818;   Santo Amaro         
R$ 745.000; 1O473O5;São Paulo;Rua Imbituba;Apartamento à venda em Vila Prudente com 70 m², 2 quartos, 1 suíte, 1 vaga;1;1;R$ 550; R$ 66,00 ;70;R$ 10.643;   Vila Prudente       
R$ 699.000; 6UWPPZ;São Paulo;Rua Constantino de Sousa;Apartamento à venda em Campo Belo com 51 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 687; R$ 146,00 ;51;R$ 13.706;   Campo Belo         
R$ 506.000; ADPIFP;São Paulo;Rua Brigadeiro Galvão;Apartamento à venda em Santa Cecília com 60 m², 2 quartos, 1 vaga;1;1;R$ 750; R$ 39,00 ;60;R$ 8.433;   Santa Cecília       
R$ 690.000; 29XZ3Z;São Paulo;Rua Casa do Ator;Apartamento à venda em Vila Olímpia com 69 m², 2 quartos, 1 vaga;1;2;R$ 850; R$ 67,00 ;69;R$ 10.000;   Vila Olímpia         
R$ 620.000; 1TXBDKB;São Paulo;Avenida Pavão;Apartamento à venda em Moema Pássaros com 40 m², 1 quarto, 1 vaga;1;1;R$ 856; R$ 175,00 ;40;R$ 15.500;   Moema Pássaros         
R$ 980.000; M96NTM;São Paulo;Avenida Brigadeiro Luís Antônio;Apartamento à venda em Paraíso com 110 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.165; R$ 299,00 ;110;R$ 8.909;   Paraíso         
R$ 530.000; 8DWHBB;São Paulo;Rua Retiro;Apartamento à venda em Tatuapé com 68 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 550; R$ 41,00 ;68;R$ 7.794;   Tatuapé         
R$ 790.000; C6Z394;São Paulo;Rua Baluarte;Apartamento à venda em Vila Olímpia com 76 m², 2 quartos, 1 vaga;1;2;R$ 883; R$ 129,00 ;76;R$ 10.395;   Vila Olímpia         
R$ 1.590.000; 19OVPW2;São Paulo;Rua Itacema;Apartamento à venda em Itaim Bibi com 120 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 1.081; R$ 230,00 ;120;R$ 13.250;   Itaim Bibi       
R$ 1.270.000; 1T1CYNL;São Paulo;Avenida Jacutinga;Apartamento à venda em Moema Pássaros com 110 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.200; R$ 200,00 ;110;R$ 11.545;   Moema Pássaros         
R$ 1.750.000; 1RHQXKQ;São Paulo;Rua Eugênio de Medeiros;Apartamento à venda em Pinheiros com 69 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 915; R$ 37,50 ;69;R$ 25.362;   Pinheiros       
R$ 625.000; YPWFTX;São Paulo;Rua Agostinho Cantu;Apartamento à venda em Butantã com 68 m², 2 quartos, 2 vagas;2;2;R$ 1.035; R$ 129,00 ;68;R$ 9.191;   Butantã       
R$ 1.200.000; 11ZHKQQ;São Paulo;Rua Otávio Nébias;Apartamento à venda em Paraíso com 130 m², 3 quartos, 1 vaga;1;2;R$ 1.500; R$ 350,00 ;130;R$ 9.231;   Paraíso         
R$ 783.840; 1WZPUGL;São Paulo;Avenida Iraí;Apartamento à venda em Moema Índios com 70 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 1.130; R$ 134,00 ;70;R$ 11.198;   Moema Índios       
R$ 990.000; AKPDOI;São Paulo;Rua Doutor Alceu de Campos Rodrigues;Apartamento à venda em Vila Olímpia com 90 m², 2 quartos, 1 vaga;1;1;R$ 1.200; R$ 267,00 ;90;R$ 11.000;   Vila Olímpia         
R$ 500.000; WAP39X;São Paulo;Rua Tucuna;Apartamento à venda em Perdizes com 41 m², 1 quarto, 1 vaga;1;1;R$ 683; R$ 30,00 ;41;R$ 12.195;   Perdizes       
R$ 680.000; V6BQA1;São Paulo;Rua Sete Barras;Apartamento à venda em Freguesia do Ó com 70 m², 3 quartos, 1 suíte, 1 vaga;1;1;R$ 450; R$ 20,00 ;70;R$ 9.714;   Freguesia do Ó       
R$ 750.000; VJAO2U;São Paulo;Rua Monte Aprazível;Apartamento à venda em Moema Pássaros com 42 m², 1 quarto, 1 vaga;1;1;R$ 800; R$ 225,00 ;42;R$ 17.857;   Moema Pássaros         
R$ 441.600; KNGY4H;São Paulo;Rua Dardanelos;Apartamento à venda em Alto de Pinheiros com 50 m², 2 quartos, 1 vaga;1;1;R$ 870; R$ 21,00 ;50;R$ 8.832;   Alto de Pinheiros       
R$ 335.000; 86240W;São Paulo;Rua Antônio Aggio;Apartamento à venda em Vila Andrade com 46 m², 2 quartos, 2 vagas;2;1;R$ 483; R$ 53,00 ;46;R$ 7.283;   Vila Andrade         
R$ 450.000; 1OIP247;São Paulo;Rua Ciro Costa;Apartamento à venda em Perdizes com 30 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 650; R$ 83,33 ;30;R$ 15.000;   Perdizes       
R$ 795.000; 1RVXP4G;São Paulo;Rua Gabriele D'Annunzio;Apartamento à venda em Campo Belo com 63 m², 2 quartos, 2 suítes, 1 vaga;1;2;R$ 1.200; R$ 121,00 ;63;R$ 12.619;   Campo Belo         
R$ 950.000; 2QU9BY;São Paulo;Rua Gomes de Carvalho;Apartamento à venda em Vila Olímpia com 76 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.085; R$ 275,00 ;76;R$ 12.500;   Vila Olímpia         
R$ 1.012.000; 1245CPY;São Paulo;Rua Ourânia;Apartamento à venda em Vila Madalena com 90 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 1.228; R$ 308,00 ;90;R$ 11.244;   Vila Madalena         
R$ 879.000; 1S8UONJ;São Paulo;Rua Califórnia;Apartamento à venda em Brooklin com 77 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.100; R$ 355,00 ;77;R$ 11.416;   Brooklin         
R$ 750.000; TT3DTB;São Paulo;Rua do Manifesto;Apartamento à venda em Ipiranga com 69 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 850; R$ 19,00 ;69;R$ 10.870;   Ipiranga         
R$ 993.600; LKX17Z;São Paulo;Rua Comendador Miguel Calfat;Apartamento à venda em Vila Olímpia com 54 m², 2 quartos, 1 vaga;1;1;R$ 925; R$ 114,00 ;54;R$ 18.400;   Vila Olímpia         
R$ 890.000; CQHKCH;São Paulo;Rua Cerro Corá;Apartamento à venda em Vila Romana com 122 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 1.400; R$ 600,00 ;122;R$ 7.295;   Vila Romana         
R$ 800.000; LG6B04;São Paulo;Rua Doutor Eduardo de Souza Aranha;Apartamento à venda em Vila Olímpia com 80 m², 2 quartos, 1 vaga;1;1;R$ 780; R$ 77,00 ;80;R$ 10.000;   Vila Olímpia         
R$ 554.000; MEYH3Y;São Paulo;Rua Paraná;Apartamento à venda em Brás com 65 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 550; R$ 114,00 ;65;R$ 8.523;   Brás         
R$ 365.000; 5BRBIL;São Paulo;Rua João Simões de Souza;Apartamento à venda em Vila Andrade com 48 m², 2 quartos, 1 vaga;1;1;R$ 451; R$ -   ;48;R$ 7.604;   Vila Andrade         
R$ 840.000; 154UOH4;São Paulo;Rua da Consolação;Apartamento à venda em Jardim América com 78 m², 2 quartos, 1 vaga;1;2;R$ 1.400; R$ 130,00 ;78;R$ 10.769;   Jardim América         
R$ 610.000; 1RJ6LPV;São Paulo;Rua Afonso Braz;Apartamento à venda em Moema Pássaros com 44 m², 1 quarto, 1 vaga;1;1;R$ 360; R$ 85,00 ;44;R$ 13.864;   Moema Pássaros         
R$ 675.000; 1L6GW3L;São Paulo;Rua José Tavares de Siqueira;Apartamento à venda em Tatuapé com 67 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 700; R$ 179,00 ;67;R$ 10.075;   Tatuapé         
R$ 1.048.000; 1WB8UPH;São Paulo;Rua Haddock Lobo;Apartamento à venda em Jardim América com 114 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.440; R$ 41,67 ;114;R$ 9.193;   Jardim América         
R$ 630.000; YT8ULW;São Paulo;Rua Francisco Isoldi;Apartamento à venda em Vila Madalena com 51 m², 2 quartos, 1 vaga;1;2;R$ 679; R$ 236,00 ;51;R$ 12.353;   Vila Madalena         
R$ 1.215.000; 1Q9TLNU;São Paulo;Rua Haddock Lobo;Apartamento à venda em Jardim América com 114 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.300; R$ 421,00 ;114;R$ 10.658;   Jardim América         
R$ 724.000; 1CHBYA7;São Paulo;Rua do Parque;Apartamento à venda em Ipiranga com 78 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 601; R$ 179,00 ;78;R$ 9.282;   Ipiranga         
R$ 414.000; 1SKJTKT;São Paulo;Rua Itararé;Apartamento à venda em Bela Vista com 35 m², 1 quarto, 1 vaga;1;1;R$ 560; R$ 114,00 ;35;R$ 11.829;   Bela Vista         
R$ 670.000; UPDF6M;São Paulo;Rua Tibério;Apartamento à venda em Lapa com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 800; R$ 89,00 ;60;R$ 11.167;   Lapa         
R$ 1.900.000; 11E9PAV;São Paulo;Rua Domingos Fernandes;Apartamento à venda em Vila Nova Conceição com 129 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.500; R$ 490,00 ;129;R$ 14.729;   Vila Nova Conceição         
R$ 1.100.000; UTDH9T;São Paulo;Rua Pedroso Alvarenga;Apartamento à venda em Itaim Bibi com 100 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 1.030; R$ 1.000,00 ;100;R$ 11.000;   Itaim Bibi       
R$ 660.000; ZOVZ8W;São Paulo;Rua Gonçalo da Cunha;Apartamento à venda em Bosque da Saúde com 63 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 630; R$ 219,00 ;63;R$ 10.476;   Bosque da Saúde         
R$ 1.150.000; 1S76PVA;São Paulo;Alameda Fernão Cardim;Apartamento à venda em Jardim Paulista com 130 m², 2 quartos, 1 vaga;1;2;R$ 1.612; R$ 400,00 ;130;R$ 8.846;   Jardim Paulista       
R$ 1.150.000; 10HJJO2;São Paulo;Rua Rosa Gaeta Lazara;Apartamento à venda em Brooklin com 67 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 700; R$ 267,00 ;67;R$ 17.164;   Brooklin         
R$ 380.000; 173DJD7;São Paulo;Avenida Condessa Elizabeth de Robiano;Apartamento à venda em Penha com 64 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 530; R$ 143,00 ;64;R$ 5.938;   Penha       
R$ 1.490.000; BDSZ35;São Paulo;Rua Luiz Seráphico Júnior;Apartamento à venda em Santo Amaro com 138 m², 4 quartos, 2 suítes, 2 vagas;2;4;R$ 1.200; R$ 334,00 ;138;R$ 10.797;   Santo Amaro         
R$ 1.950.000; 13E0UQS;São Paulo;Rua Tangará;Apartamento à venda em Vila Mariana com 109 m², 2 quartos, 2 suítes, 3 vagas;3;2;R$ 1.302; R$ 590,00 ;109;R$ 17.890;   Vila Mariana       
R$ 538.200; 1MXOSCZ;São Paulo;Rua Eugênio de Freitas;Apartamento à venda em Vila Guilherme com 61 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 395; R$ 13,00 ;61;R$ 8.823;   Vila Guilherme         
R$ 865.000; 1F4N1CB;São Paulo;Rua das Margaridas;Apartamento à venda em Brooklin com 58 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 510; R$ 160,00 ;58;R$ 14.914;   Brooklin         
R$ 275.000; ZBTJOT;São Paulo;Rua Uparoba;Apartamento à venda em Tatuapé com 50 m², 2 quartos, 1 vaga;1;1;R$ 460; R$ -   ;50;R$ 5.500;   Tatuapé         
R$ 1.915.000; G0LP2K;São Paulo;Rua Marc Chagall;Apartamento à venda em Barra Funda com 108 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 1.300; R$ 300,00 ;108;R$ 17.731;   Barra Funda         
R$ 1.180.000; 1VZ8XRI;São Paulo;Rua Humberto I;Apartamento à venda em Vila Mariana com 95 m², 4 quartos, 1 suíte, 1 vaga;1;3;R$ 1.300; R$ 83,00 ;95;R$ 12.421;   Vila Mariana       
R$ 619.663; 115X0JQ;São Paulo;Avenida Padre Antônio José dos Santos;Apartamento à venda em Brooklin com 78 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.320; R$ 134,00 ;78;R$ 7.944;   Brooklin         
R$ 470.000; 1JRVZ15;São Paulo;Rua Carlos Steinen;Apartamento à venda em Paraíso com 32 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.247; R$ 206,00 ;32;R$ 14.688;   Paraíso         
R$ 745.000; FXBA53;São Paulo;Rua Correggio;Apartamento à venda em Vila Sônia com 105 m², 3 quartos, 3 suítes, 2 vagas;2;4;R$ 1.190; R$ 450,00 ;105;R$ 7.095;   Vila Sônia       
R$ 620.000; 1OCYF9X;São Paulo;Rua Gomes de Carvalho;Apartamento à venda em Vila Olímpia com 29 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 550; R$ 150,00 ;29;R$ 21.379;   Vila Olímpia         
R$ 990.000; 15X7EUW;São Paulo;Rua Ipiranga;Apartamento à venda em Campo Belo com 89 m², 4 quartos, 1 suíte, 2 vagas;2;3;R$ 848; R$ 283,00 ;89;R$ 11.124;   Campo Belo         
R$ 506.000; FLUXQA;São Paulo;Rua Alexandre Benois;Apartamento à venda em Vila Andrade com 62 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 700; R$ 100,00 ;62;R$ 8.161;   Vila Andrade         
R$ 371.000; 1T7N2QW;São Paulo;Avenida Condessa Elizabeth de Robiano;Apartamento à venda em Penha com 54 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 400; R$ 900,00 ;54;R$ 6.870;   Penha       
R$ 655.000; PK15HS;São Paulo;Rua Jaci;Apartamento à venda em Bosque da Saúde com 71 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 772; R$ 105,00 ;71;R$ 9.225;   Bosque da Saúde         
R$ 530.000; 1OTG9LJ;São Paulo;Rua Sousa Lima;Apartamento à venda em Santa Cecília com 53 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 550; R$ 50,00 ;53;R$ 10.000;   Santa Cecília       
R$ 318.000; OK7PR3;São Paulo;Rua Dianópolis;Apartamento à venda em Mooca com 49 m², 2 quartos, 1 vaga;1;1;R$ 581; R$ 42,00 ;49;R$ 6.490;   Mooca     
R$ 599.000; 3QGB7S;São Paulo;Rua Brentano;Apartamento à venda em Alto da Lapa com 55 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 832; R$ 139,00 ;55;R$ 10.891;   Alto da Lapa       
R$ 810.000; ZS2M6G;São Paulo;Rua do Rocio;Apartamento à venda em Brooklin com 75 m², 2 quartos, 1 vaga;1;2;R$ 950; R$ 137,00 ;75;R$ 10.800;   Brooklin         
R$ 1.356.000; FBA91E;São Paulo;Rua Sacadura Cabral;Apartamento à venda em Lapa com 110 m², 4 quartos, 1 suíte, 2 vagas;2;2;R$ 680; R$ 40,00 ;110;R$ 12.327;   Lapa         
R$ 1.080.000; 1D398LI;São Paulo;Rua Tonelero;Apartamento à venda em Vila Romana com 119 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 900; R$ 117,00 ;119;R$ 9.076;   Vila Romana         
R$ 479.000; H4XGVQ;São Paulo;Rua Itapiru;Apartamento à venda em Saúde com 57 m², 2 quartos, 1 vaga;1;2;R$ 966; R$ 137,00 ;57;R$ 8.404;   Saúde         
R$ 903.094; W19RHR;São Paulo;Rua Doutor Fadlo Haidar;Apartamento à venda em Vila Olímpia com 89 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.280; R$ 163,33 ;89;R$ 10.147;   Vila Olímpia         
R$ 799.000; 1VPCQA5;São Paulo;Rua do Rocio;Apartamento à venda em Brooklin com 66 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 537; R$ 146,00 ;66;R$ 12.106;   Brooklin         
R$ 675.000; 1VFFG4O;São Paulo;Rua dos Cariris;Apartamento à venda em Pinheiros com 50 m², 1 quarto, 1 vaga;1;1;R$ 682; R$ 106,00 ;50;R$ 13.500;   Pinheiros       
R$ 720.000; F48LY5;São Paulo;Rua José de Magalhães;Apartamento à venda em Bosque da Saúde com 70 m², 3 quartos, 1 vaga;1;2;R$ 1.200; R$ 132,00 ;70;R$ 10.286;   Bosque da Saúde         
R$ 695.000; 7IZPA8;São Paulo;Rua Doutor Alfredo de Castro;Apartamento à venda em Perdizes com 57 m², 2 quartos, 1 vaga;1;1;R$ 647; R$ 83,58 ;57;R$ 12.193;   Perdizes       
R$ 680.000; 1SZQLGG;São Paulo;Rua Adalberto Kemeny;Apartamento à venda em Barra Funda com 66 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 650; R$ 37,00 ;66;R$ 10.303;   Barra Funda         
R$ 580.000; 1UYQC8L;São Paulo;Rua Doutor Renato Paes de Barros;Apartamento à venda em Itaim Bibi com 56 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.097; R$ 191,00 ;56;R$ 10.357;   Itaim Bibi       
R$ 250.000; ISH2I8;São Paulo;Rua Leandro Teixeira;Apartamento à venda em Morumbi com 69 m², 3 quartos, 1 vaga;1;1;R$ 480; R$ -   ;69;R$ 3.623;   Morumbi       
R$ 480.000; O281IV;São Paulo;Avenida Condessa Elizabeth de Robiano;Apartamento à venda em Penha com 64 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 480; R$ 11,83 ;64;R$ 7.500;   Penha       
R$ 495.000; 157GCYR;São Paulo;Rua da Imprensa;Apartamento à venda em Ipiranga com 60 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 800; R$ 242,00 ;60;R$ 8.250;   Ipiranga         
R$ 790.000; 6HMFRI;São Paulo;Avenida das Nações Unidas;Apartamento à venda em Pinheiros com 70 m², 2 quartos, 1 vaga;1;2;R$ 970; R$ 56,00 ;70;R$ 11.286;   Pinheiros       
R$ 690.000; 1SA71V0;São Paulo;Rua Venâncio Aires;Apartamento à venda em Perdizes com 57 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 860; R$ 12,92 ;57;R$ 12.105;   Perdizes       
R$ 964.600; QAO4EG;São Paulo;Rua Doutor Pinto Ferraz;Apartamento à venda em Aclimação com 100 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 1.009; R$ 390,00 ;100;R$ 9.646;   Aclimação         
R$ 567.000; 1D4PSEY;São Paulo;Rua João Miguel Jarra;Apartamento à venda em Vila Madalena com 66 m², 2 quartos, 1 vaga;1;1;R$ 450; R$ 15,00 ;66;R$ 8.591;   Vila Madalena         
R$ 450.000; 1T0OXJS;São Paulo;Rua Dom João V;Apartamento à venda em Lapa com 55 m², 2 quartos, 1 vaga;1;2;R$ 666; R$ 203,00 ;55;R$ 8.182;   Lapa         
R$ 1.400.000; 15Z25JZ;São Paulo;Rua Croata;Apartamento à venda em Vila Romana com 66 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 880; R$ 12,50 ;66;R$ 21.212;   Vila Romana         
R$ 730.000; KD1LS1;São Paulo;Rua Tonelero;Apartamento à venda em Vila Romana com 69 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 950; R$ 11,67 ;69;R$ 10.580;   Vila Romana         
R$ 750.000; 18ZEMSW;São Paulo;Rua Joaquim Floriano;Apartamento à venda em Itaim Bibi com 92 m², 2 quartos, 1 vaga;1;2;R$ 1.200; R$ 201,00 ;92;R$ 8.152;   Itaim Bibi       
R$ 905.000; 1988AGA;São Paulo;Avenida Bosque da Saúde;Apartamento à venda em Bosque da Saúde com 84 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 725; R$ 286,00 ;84;R$ 10.774;   Bosque da Saúde         
R$ 570.000; 1P9LF42;São Paulo;Rua do Hipódromo;Apartamento à venda em Mooca com 65 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 487; R$ 16,00 ;65;R$ 8.769;   Mooca     
R$ 1.170.000; 1J5C8KD;São Paulo;Rua Batataes;Apartamento à venda em Jardim Paulista com 104 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.230; R$ 329,00 ;104;R$ 11.250;   Jardim Paulista       
R$ 607.200; 1LP3LN0;São Paulo;Rua Cipriano Barata;Apartamento à venda em Ipiranga com 63 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 770; R$ 115,00 ;63;R$ 9.638;   Ipiranga         
R$ 689.000; 11ZDYNH;São Paulo;Avenida Jamaris;Apartamento à venda em Moema Índios com 60 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.030; R$ 113,00 ;60;R$ 11.483;   Moema Índios       
R$ 1.703.000; Y9BNQ7;São Paulo;Rua Faustolo;Apartamento à venda em Lapa com 133 m², 3 quartos, 2 suítes, 2 vagas;2;3;R$ 980; R$ 533,33 ;133;R$ 12.805;   Lapa         
R$ 1.030.000; 4LRLBR;São Paulo;Rua Dona Brígida;Apartamento à venda em Aclimação com 67 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 1.000; R$ 2,08 ;67;R$ 15.373;   Aclimação         
R$ 530.000; 2H33TV;São Paulo;Rua Ibitirama;Apartamento à venda em Vila Prudente com 63 m², 3 quartos, 1 suíte, 1 vaga;1;1;R$ 640; R$ 10,83 ;63;R$ 8.413;   Vila Prudente       
R$ 760.000; SWIPZU;São Paulo;Rua Constantino de Sousa;Apartamento à venda em Campo Belo com 51 m², 1 quarto, 1 vaga;1;1;R$ 600; R$ 152,00 ;51;R$ 14.902;   Campo Belo         
R$ 395.000; 1KGI26;São Paulo;Rua Ibitirama;Apartamento à venda em Vila Prudente com 57 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 550; R$ 24,00 ;57;R$ 6.930;   Vila Prudente       
