,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,etc_apart,condominio,iptu
0,R$ 2.000.000,Imóvel EB2ZJQ,Apartamento em São Paulo,Rua Voluntários da Pátria,"Apartamento à venda em Santana com 286 m², 3 quartos, 1 suíte, 2 vagas",2 vagas,5 Banheiros,Indisponivel,R$ 1.786/mês,R$ 620/ano
0,R$ 3.750.000,Imóvel 1PNSCVA,Apartamento em São Paulo,Rua Doutor Gabriel dos Santos,"Apartamento à venda em Santa Cecília com 400 m², 4 quartos, 2 suítes, 3 vagas",3 vagas,7 Banheiros,Indisponivel,R$ 5.000/mês,R$ 2.150/ano
0,R$ 745.000,Imóvel 10M9U88,Apartamento em São Paulo,Avenida Paes de Barros,"Apartamento à venda em Mooca com 154 m², 4 quartos, 2 suítes, 1 vaga",1 vaga,3 Banheiros,Indisponivel,R$ 1.500/mês,R$ 2.360/ano
0,R$ 1.590.000,Imóvel U7RLYA,Apartamento em São Paulo,Rua Lisboa,"Apartamento à venda em Pinheiros com 170 m², 3 quartos, 1 suíte, 1 vaga",1 vaga,3 Banheiros,Indisponivel,R$ 1.788/mês,R$ 1.920/ano
0,R$ 1.950.000,Imóvel 193SBDZ,Apartamento em São Paulo,Rua Fradique Coutinho,"Apartamento à venda em Pinheiros com 103 m², 4 quartos, 2 suítes, 2 vagas",2 vagas,6 Banheiros,Indisponivel,R$ 1.600/mês,R$ 450/ano
0,R$ 2.300.000,Imóvel R427ZL,Apartamento em São Paulo,Rua das Margaridas,"Apartamento à venda em Brooklin com 137 m², 3 quartos, 3 suítes, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 1.400/mês,R$ 2.000/ano
0,R$ 3.900.000,Imóvel E3XZH3,Apartamento em São Paulo,Rua Benedito Lapin,"Apartamento à venda em Vila Olímpia com 151 m², 3 quartos, 3 suítes, 3 vagas",3 vagas,3 Banheiros,Indisponivel,R$ 3.260/mês,R$ 11.390/ano
0,R$ 1.950.000,Imóvel 1ECPH8W,Apartamento em São Paulo,Rua Bartira,"Apartamento à venda em Perdizes com 207 m², 4 quartos, 3 suítes, 4 vagas",4 vagas,6 Banheiros,Indisponivel,R$ 3.088/mês,R$ 1.569/ano
0,R$ 742.000,Imóvel 1WRYXUH,Apartamento em São Paulo,Rua Azevedo Soares,"Apartamento à venda em Tatuapé com 117 m², 4 quartos, 3 suítes, 4 vagas",4 vagas,4 Banheiros,Lavabo,R$ 1.489/mês,R$ 9.894/ano
0,R$ 4.200.000,Imóvel 1RTUVAP,Apartamento em São Paulo,Rua Costa Carvalho,"Apartamento à venda em Pinheiros com 258 m², 4 quartos, 4 suítes, 4 vagas",4 vagas,8 Banheiros,Indisponivel,R$ 6.500/mês,R$ 2.400/ano
0,R$ 1.750.000,Imóvel 1E092AD,Apartamento em São Paulo,Rua Professor Pedreira de Freitas,"Apartamento à venda em Tatuapé com 156 m², 3 quartos, 3 suítes, 3 vagas",3 vagas,5 Banheiros,Lavabo,R$ 1.500/mês,R$ 1.500/ano
0,R$ 1.698.000,Imóvel Q3D4L2,Apartamento em São Paulo,Rua Voluntários da Pátria,"Apartamento à venda em Santana com 253 m², 4 quartos, 3 suítes, 4 vagas",4 vagas,4 Banheiros,Indisponivel,R$ 3.110/mês,R$ 100/mês
0,R$ 950.000,Imóvel 1PUQJ9T,Apartamento em São Paulo,Rua Tuiuti,"Apartamento à venda em Tatuapé com 93 m², 3 quartos, 1 suíte, 2 vagas",2 vagas,2 Banheiros,Lavabo,R$ 695/mês,R$ 221/ano
0,R$ 4.500.000,Imóvel 57ZYXC,Apartamento em São Paulo,Rua Tucumã,"Apartamento à venda em Jardim Europa com 167 m², 3 quartos, 1 suíte, 2 vagas",2 vagas,4 Banheiros,Indisponivel,R$ 2.280/mês,R$ 730/ano
0,R$ 2.750.000,Imóvel ATQ656,Apartamento em São Paulo,Rua Pedroso Alvarenga,"Apartamento à venda em Itaim Bibi com 142 m², 4 quartos, 3 suítes, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 2.337/mês,R$ 900/ano
0,R$ 4.000.000,Imóvel 16GOT2J,Apartamento em São Paulo,Rua Wanderley,"Apartamento à venda em Perdizes com 280 m², 4 quartos, 4 suítes, 4 vagas",4 vagas,4 Banheiros,Indisponivel,R$ 3.842/mês,R$ 23.000/ano
0,R$ 1.500.000,Imóvel 1IAXTKA,Apartamento em São Paulo,Rua Cristiano Viana,"Apartamento à venda em Pinheiros com 73 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Lavabo,R$ 1.000/mês,R$ 2.600/ano
0,R$ 2.130.000,Imóvel 1K7GU05,Apartamento em São Paulo,Rua Ministro Godói,"Apartamento à venda em Perdizes com 171 m², 4 quartos, 3 suítes, 3 vagas",3 vagas,5 Banheiros,Lavabo,R$ 2.200/mês,R$ 10.000/ano
0,R$ 2.438.000,Imóvel 7DIPOA,Apartamento em São Paulo,Rua Araguari,"Apartamento à venda em Moema Pássaros com 143 m², 3 quartos, 3 suítes, 2 vagas",2 vagas,5 Banheiros,Lavabo,R$ 1.650/mês,R$ 10.000/ano
0,R$ 660.000,Imóvel 17ZHKI7,Apartamento em São Paulo,Avenida Cotovia,"Apartamento à venda em Moema Pássaros com 24 m², 1 quarto, 1 vaga",1 vaga,1 Banheiro,Indisponivel,R$ 510/mês,Isento
0,R$ 1.700.000,Imóvel 1AYWRFC,Apartamento em São Paulo,Avenida Portugal,"Apartamento à venda em Brooklin com 135 m², 4 quartos, 2 suítes, 2 vagas",2 vagas,3 Banheiros,Indisponivel,R$ 1.600/mês,R$ 5.300/ano
0,R$ 3.600.000,Imóvel IWF4VN,Apartamento em São Paulo,Rua Agnaldo Manuel dos Santos,"Apartamento à venda em Chácara Klabin com 265 m², 3 quartos, 3 suítes, 5 vagas",5 vagas,4 Banheiros,Lavabo,R$ 4.000/mês,R$ 2.750/ano
0,R$ 3.127.000,Imóvel 177QKAL,Apartamento em São Paulo,Rua Michigan,"Apartamento à venda em Brooklin com 158 m², 4 quartos, 2 suítes, 3 vagas",3 vagas,2 Banheiros,Lavabo,R$ 770/mês,R$ 3.960/ano
0,R$ 1.700.000,Imóvel OFYEY9,Apartamento em São Paulo,Rua Castro Alves,"Apartamento à venda em Aclimação com 241 m², 3 quartos, 3 suítes, 3 vagas",3 vagas,4 Banheiros,Lavabo,R$ 3.118/mês,R$ 16.020/ano
0,R$ 1.600.000,Imóvel 1RAEHPQ,Apartamento em São Paulo,Rua Doutor Veiga Filho,"Apartamento à venda em Higienópolis com 89 m², 2 quartos, 1 vaga",1 vaga,1 Banheiro,Indisponivel,R$ 1.100/mês,R$ 3.115/ano
0,R$ 2.150.000,Imóvel 1F9YZ52,Apartamento em São Paulo,Rua Conselheiro Pedro Luís,"Apartamento à venda em Santana com 135 m², 3 quartos, 3 suítes, 3 vagas",3 vagas,5 Banheiros,Indisponivel,R$ 1.476/mês,R$ 1/ano
0,R$ 1.590.000,Imóvel 1YRPS7A,Apartamento em São Paulo,Rua Doutor Renato Paes de Barros,"Apartamento à venda em Itaim Bibi com 162 m², 3 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Lavabo,R$ 2.000/mês,R$ 385/ano
0,R$ 1.590.000,Imóvel 1X1JFPN,Apartamento em São Paulo,Rua Urano,"Apartamento à venda em Aclimação com 192 m², 3 quartos, 3 suítes, 3 vagas",3 vagas,5 Banheiros,Lavabo,R$ 2.990/mês,R$ 15.080/ano
0,R$ 848.000,Imóvel 2G0XU3,Apartamento em São Paulo,Rua Doutor Ângelo Vita,"Apartamento à venda em Tatuapé com 84 m², 3 quartos, 1 suíte, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 700/mês,R$ 2.500/ano
